category_id,x_min,y_min,x_max,y_max
零食,0.9999862909317017,888.0230712890625,589.7581787109375,1080.0,902.3680419921875
零食,0.9999099969863892,49.493507385253906,1301.11767578125,239.91348266601562,1522.96240234375
零食,0.9999442100524902,0.24790191650390625,1011.8460693359375,101.71204376220703,1230.5467529296875
零食,0.999997615814209,328.3088073730469,996.2674560546875,454.2171936035156,1202.3013916015625
零食,0.9998040795326233,977.62255859375,1584.5941162109375,1080.0,1872.8829345703125
零食,0.9999624490737915,222.46475219726562,1296.27392578125,351.6712951660156,1502.04931640625
零食,0.9999284744262695,699.433837890625,619.7838134765625,881.3360595703125,904.346435546875
零食,0.9999940395355225,883.04248046875,968.0313720703125,1075.2313232421875,1183.5626220703125
零食,0.9999798536300659,728.630615234375,969.7618408203125,893.4501953125,1177.6212158203125
零食,0.9999465942382812,869.1570434570312,1259.48291015625,1052.4276123046875,1455.94384765625
零食,0.9999974966049194,362.9045715332031,636.5939331054688,553.443359375,916.0593872070312
零食,0.9992864727973938,103.21005249023438,1008.32568359375,193.67694091796875,1199.6748046875
零食,0.9999940395355225,586.600341796875,980.259033203125,727.4769287109375,1197.104736328125
零食,0.9999841451644897,267.9864501953125,670.2091064453125,394.315673828125,924.73974609375
零食,0.9999940395355225,97.27518463134766,657.3050537109375,269.84515380859375,924.6461181640625
零食,0.9993563294410706,660.9841918945312,1283.5657958984375,769.8892211914062,1451.8621826171875
零食,0.999984860420227,545.7606811523438,636.2802734375,720.3638305664062,900.9693603515625
零食,0.9999369382858276,168.6522216796875,1607.347412109375,312.54620361328125,1873.511962890625
零食,0.9999556541442871,760.7960815429688,1329.0787353515625,939.1375122070312,1491.6505126953125
零食,0.9958339929580688,394.2671813964844,450.5628967285156,594.4580688476562,581.0806274414062
零食,0.9998600482940674,389.90289306640625,329.7736511230469,605.7031860351562,489.6866149902344
零食,0.9999955892562866,443.67083740234375,994.9837646484375,587.2537231445312,1198.6883544921875
零食,0.9991831183433533,834.9942016601562,0.0,1044.1903076171875,170.6082763671875
零食,0.9997044205665588,473.3665771484375,0.0,660.188720703125,203.28265380859375
零食,0.9999698400497437,653.4871826171875,4.3751373291015625,843.6556396484375,188.0203094482422
零食,0.9997320771217346,217.44229125976562,351.8629455566406,396.7290344238281,581.804443359375
零食,0.9999966621398926,493.3692626953125,1294.20751953125,689.129638671875,1501.1376953125
零食,0.9999794960021973,342.9837646484375,1674.5482177734375,479.26031494140625,1883.8314208984375
零食,0.9952627420425415,599.012939453125,311.8155517578125,814.2630615234375,414.75970458984375
零食,0.9983331561088562,38.940818786621094,1616.7239990234375,181.76495361328125,1886.3780517578125
零食,0.8090072870254517,961.705078125,1267.7720947265625,1075.8084716796875,1488.5299072265625
零食,0.9999964237213135,324.9117126464844,1286.1024169921875,486.0979919433594,1510.8538818359375
零食,0.9999849796295166,463.22442626953125,1638.0455322265625,603.9255981445312,1874.7103271484375
零食,0.9999411106109619,802.1705322265625,1647.693115234375,984.5142822265625,1867.691162109375
零食,0.9999188184738159,0.2740135192871094,665.3927612304688,115.15316772460938,934.2932739257812
零食,0.9996029734611511,844.6023559570312,413.1813659667969,1079.1282958984375,540.492919921875
零食,0.9999065399169922,52.47075653076172,6.695991516113281,276.5395202636719,231.61318969726562
零食,0.9997965693473816,39.863487243652344,402.64862060546875,241.864990234375,597.029296875
零食,0.9999936819076538,188.1307830810547,997.771728515625,340.1851806640625,1215.85498046875
零食,0.9968336224555969,592.7080078125,414.50274658203125,851.4903564453125,565.4977416992188
零食,0.9996392726898193,815.2744750976562,274.56842041015625,1078.446044921875,403.8271484375
零食,0.9998243451118469,606.040283203125,1612.0780029296875,792.3636474609375,1877.3516845703125
零食,0.9901807308197021,608.44189453125,350.4909362792969,811.7083740234375,436.3695983886719
零食,0.2712731957435608,603.5572509765625,256.45458984375,781.72119140625,329.40045166015625
零食,0.06814499199390411,569.7831420898438,787.7621459960938,721.4358520507812,899.8577270507812
